A Idade do Gelo 3 - Despertar dos dinossauros;Ice Age 3: Dawn of the Dinosaurs;TRUE;TRUE;2009;90;Animação;Images\5600304210386.15F.jpg
A idade do gelo 4: Deriva continental;Ice Age 4: Continental Drift;TRUE;FALSE;2012;88;Animação;Images\5602193504652.15F.jpg
A Ilha;The Island;TRUE;TRUE;2005;130;Acção;Images\7321976717307.15F.jpg
A Ilha do Tesouro;0;TRUE;TRUE;1950;94;0;Images\5601887447695.15F.jpg
A Importância de ser Ernesto;The Importance of Being Earnest;TRUE;TRUE;2002;89;Comédia;Images\5608652016568.15F.jpg
A Intérprete;The Interpreter;TRUE;TRUE;2005;123;Drama;Images\5050582346718.15F.jpg
A Invasão;The Invasion;TRUE;TRUE;2007;95;Suspense/Thriller;Images\5600304192705.15F.jpg
A Janela Secreta;Secret Window;TRUE;TRUE;2004;92;Drama;Images\8414533025966.15F.jpg
A Jóia do Nilo;The Jewel of the Nile;TRUE;TRUE;1985;101;Acção;Images\5600304162869.15F.jpg
A Lenda de Bagger Vance;The Legend of Bagger Vance;TRUE;TRUE;2000;125;0;Images\5601887434435.15F.jpg
A Lenda de Despereaux;Tale of Despereaux;TRUE;TRUE;2008;90;Animação;Images\5050582706697.2F.jpg
A Lenda Do Rei David;0;TRUE;TRUE;0;0;0;Images\M4.15F.jpg
A Máquina do Tempo;The Time Machine;TRUE;TRUE;2002;92;Acção;Images\7321977221919.15F.jpg
A Máscara;The Mask;TRUE;TRUE;1994;97;Comédia;Images\IB2D1989D81922B77.15F.jpg
A Menina da Rádio;0;TRUE;TRUE;1944;107;0;Images\5606699505489.15F.jpg
A Minha Vida em Ruínas;My Life in Ruins;TRUE;TRUE;2009;96;Comédia;Images\5606320009263.15F.jpg
A Missão;The Mission;TRUE;TRUE;1986;120;Aventura;Images\5601887458608.15F.jpg
A Mosca;The Fly;TRUE;TRUE;1986;94;Horror;Images\5600304162784.15F.jpg
A Mulher da Casa;Bringing Down the House;TRUE;TRUE;2003;101;Comédia;Images\5601887456871.15F.jpg
A Mulher do Astronauta;The Austronaut's Wife;TRUE;TRUE;1999;104;Ficção Científica;Images\5601887426423.15F.jpg
A Múmia;The Mummy;TRUE;TRUE;1999;120;0;Images\5050582008951.15F.jpg
A Múmia: O Túmulo do Imperador Dragão;The Mummy: Tomb of the Dragon Emperor;TRUE;TRUE;2008;107;Acção;Images\5050582593280.15F.jpg
A Musa;The Muse;TRUE;TRUE;1999;97;Comédia;Images\5608652003155.15F.jpg
A Namorada do meu melhor amigo;My Best Friend's Girl;TRUE;TRUE;2008;112;Comédia;Images\5608652035323.15F.jpg
À Noite, no Museu;Night at the Museum;TRUE;TRUE;2006;108;Acção;Images\5600304174572.15F.jpg
À Noite, no Museu 2;Night at the Museum: Battle of the Smithsonian;FALSE;TRUE;2009;105;Comédia;Images\5600304210041.15F.jpg
A Noiva Cadáver;Corpse Bride;TRUE;TRUE;2005;74;Animação;Images\7321976593512.15F.jpg
A Nona Porta;The Ninth Gate;TRUE;TRUE;1999;128;Horror;Images\5601887426508.15F.jpg
A organização;The Crew;TRUE;TRUE;2008;118;Acção;Images\5608652035897.15F.jpg
A Outra Face;Face/Off;TRUE;TRUE;1997;133;Acção;Images\5601887419425.15F.jpg
A Ovelha Choné: Futebaa!;Shaun the Sheep: Off the Baa;TRUE;TRUE;2006;56;Animação;Images\5608652033381.15F.jpg
A Paixão de Cristo;The Passion of the Christ;TRUE;TRUE;2004;121;Drama;Images\5601887462353.15F.jpg
A Paixão de Shakespeare;Shakespeare In Love;FALSE;TRUE;1998;119;0;Images\5601887404131.15F.jpg
A Porta no Chão;The Door in the Floor;TRUE;TRUE;2004;106;0;Images\5602193322768.15F.jpg
A Pousada da Jamaica;Jamaica Inn;TRUE;TRUE;1939;98;Suspense/Thriller;Images\IFB8362F58BC2FEFE.15F.jpg
A Praia;The Beach;TRUE;TRUE;2000;115;Drama;Images\5600304163293.15F.jpg
À Procura da Terra do Nunca;Finding Neverland;TRUE;TRUE;2004;97;Drama;Images\5600304161817.15F.jpg
À Procura de Nemo;Finding Nemo;TRUE;TRUE;2003;97;0;Images\5601887463923.15F.jpg
A Profecia das Sombras;The Mothman Prophecies;TRUE;TRUE;2002;114;Suspense/Thriller;Images\5601887440948.15F.jpg
A Proposta;The Proposition;TRUE;TRUE;1998;107;Drama;Images\5601887432967.15F.jpg
À Prova de Bala;Bulletproof Monk;TRUE;TRUE;2003;104;Acção;Images\5602193317702.15F.jpg
À Prova de Morte;Death Proof;TRUE;TRUE;2007;109;Acção;Images\5602193339346.15F.jpg
A Qualquer Preço;A Civil Action;TRUE;TRUE;1998;115;Drama;Images\7896012250136.23F.jpg
A Queda - Hitler e o Fim do Terceiro Reich;Der Untergang;TRUE;TRUE;2004;149;Drama;Images\5608652026864.15F.jpg
A Rainha;The Queen;TRUE;TRUE;2006;98;Drama;Images\5608652030595.15F.jpg
A Rainha Margot;La Reine Margot;TRUE;TRUE;1994;137;0;Images\5608652022217.15F.jpg
A Rede;The Net;TRUE;TRUE;1995;110;Suspense/Thriller;Images\5606376278965.15F.jpg
A ressaca;The Hangover;FALSE;TRUE;2009;103;Comédia;Images\5601887551958.15F.jpg
A ressaca - Parte III;The Hangover: Part III;FALSE;TRUE;2013;96;Comédia;Images\5051892124348.4F.jpg
A Ressaca Parte II;The Hangover Part II;FALSE;TRUE;2011;98;Comédia;Images\5601887574926.15F.jpg
A Secretária;Secretary;TRUE;TRUE;2002;107;0;Images\5608652021685.15F.jpg
A Soma de Todos os Medos;The Sum of All Fears;TRUE;TRUE;2002;119;Acção;Images\5601887444991.15F.jpg
A Sombra da Forca;Hang 'em High;TRUE;TRUE;1968;110;Western;Images\5600304195355.15F.jpg
