Title,Original Title,Seen,Original DVD,Production Year,Running Time,Genre,Cover Image Front
A Herança que veio do Frio,Kevin of the North,TRUE,TRUE,2001,98,,Z:\Databases\DVD_1\Images\5608652008952.15F.JPG
A História de uma Abelha,Bee Movie,FALSE,TRUE,2007,87,,Z:\Databases\DVD_1\Images\5601887521494.15F.JPG
A Idade das Sombras,The Age of Shadows,TRUE,TRUE,2016,140,Acção,Z:\Databases\DVD_1\Images\5600351704258.15F.JPG
A Idade do Gelo,Ice Age,TRUE,TRUE,2002,78,Animação,Z:\Databases\DVD_1\Images\5600304162470.15F.JPG
A Idade do Gelo 2 - Descongelados,Ice Age: The Meltdown,TRUE,TRUE,2006,87,Animação,Z:\Databases\DVD_1\Images\5600304169936.15F.JPG
A Idade do Gelo 3 - Despertar dos dinossauros,Ice Age 3: Dawn of the Dinosaurs,TRUE,TRUE,2009,90,Animação,Z:\Databases\DVD_1\Images\5600304210386.15F.JPG
A idade do gelo 4: Deriva continental,Ice Age 4: Continental Drift,TRUE,FALSE,2012,88,Animação,Z:\Databases\DVD_1\Images\5602193504652.15F.JPG
A Ilha,The Island,TRUE,TRUE,2005,130,Acção,Z:\Databases\DVD_1\Images\7321976717307.15F.JPG
A Ilha do Tesouro,,TRUE,TRUE,1950,94,,Z:\Databases\DVD_1\Images\5601887447695.15F.JPG
A Importância de ser Ernesto,The Importance of Being Earnest,TRUE,TRUE,2002,89,Comédia,Z:\Databases\DVD_1\Images\5608652016568.15F.JPG
A Intérprete,The Interpreter,TRUE,TRUE,2005,123,Drama,Z:\Databases\DVD_1\Images\5050582346718.15F.JPG
A Invasão,The Invasion,TRUE,TRUE,2007,95,Suspense/Thriller,Z:\Databases\DVD_1\Images\5600304192705.15F.JPG
A Janela Secreta,Secret Window,TRUE,TRUE,2004,92,Drama,Z:\Databases\DVD_1\Images\8414533025966.15F.JPG
A Jóia do Nilo,The Jewel of the Nile,TRUE,TRUE,1985,101,Acção,Z:\Databases\DVD_1\Images\5600304162869.15F.JPG
A Lenda de Bagger Vance,The Legend of Bagger Vance,TRUE,TRUE,2000,125,,Z:\Databases\DVD_1\Images\5601887434435.15F.JPG
A Lenda de Despereaux,Tale of Despereaux,TRUE,TRUE,2008,90,Animação,Z:\Databases\DVD_1\Images\5050582706697.2F.JPG
A Lenda Do Rei David,,TRUE,TRUE,0,0,,Z:\Databases\DVD_1\Images\M4.15F.JPG
A Máquina do Tempo,The Time Machine,TRUE,TRUE,2002,92,Acção,Z:\Databases\DVD_1\Images\7321977221919.15F.JPG
A Máscara,The Mask,TRUE,TRUE,1994,97,Comédia,Z:\Databases\DVD_1\Images\IB2D1989D81922B77.15F.JPG
A Menina da Rádio,,TRUE,TRUE,1944,107,,Z:\Databases\DVD_1\Images\5606699505489.15F.JPG
A Minha Vida em Ruínas,My Life in Ruins,TRUE,TRUE,2009,96,Comédia,Z:\Databases\DVD_1\Images\5606320009263.15F.JPG
A Missão,The Mission,TRUE,TRUE,1986,120,Aventura,Z:\Databases\DVD_1\Images\5601887458608.15F.JPG
A Mosca,The Fly,TRUE,TRUE,1986,94,Horror,Z:\Databases\DVD_1\Images\5600304162784.15F.JPG
A Mulher da Casa,Bringing Down the House,TRUE,TRUE,2003,101,Comédia,Z:\Databases\DVD_1\Images\5601887456871.15F.JPG
A Mulher do Astronauta,The Austronaut's Wife,TRUE,TRUE,1999,104,Ficção Científica,Z:\Databases\DVD_1\Images\5601887426423.15F.JPG
A Múmia,The Mummy,TRUE,TRUE,1999,120,,Z:\Databases\DVD_1\Images\5050582008951.15F.JPG
A Múmia: O Túmulo do Imperador Dragão,The Mummy: Tomb of the Dragon Emperor,TRUE,TRUE,2008,107,Acção,Z:\Databases\DVD_1\Images\5050582593280.15F.JPG
A Musa,The Muse,TRUE,TRUE,1999,97,Comédia,Z:\Databases\DVD_1\Images\5608652003155.15F.JPG
A Namorada do meu melhor amigo,My Best Friend's Girl,TRUE,TRUE,2008,112,Comédia,Z:\Databases\DVD_1\Images\5608652035323.15F.JPG
"À Noite, no Museu",Night at the Museum,TRUE,TRUE,2006,108,Acção,Z:\Databases\DVD_1\Images\5600304174572.15F.JPG
"À Noite, no Museu 2",Night at the Museum: Battle of the Smithsonian,FALSE,TRUE,2009,105,Comédia,Z:\Databases\DVD_1\Images\5600304210041.15F.JPG
A Noiva Cadáver,Corpse Bride,TRUE,TRUE,2005,74,Animação,Z:\Databases\DVD_1\Images\7321976593512.15F.JPG
A Nona Porta,The Ninth Gate,TRUE,TRUE,1999,128,Horror,Z:\Databases\DVD_1\Images\5601887426508.15F.JPG
A organização,The Crew,TRUE,TRUE,2008,118,Acção,Z:\Databases\DVD_1\Images\5608652035897.15F.JPG
A Outra Face,Face/Off,TRUE,TRUE,1997,133,Acção,Z:\Databases\DVD_1\Images\5601887419425.15F.JPG
A Ovelha Choné: Futebaa!,Shaun the Sheep: Off the Baa,TRUE,TRUE,2006,56,Animação,Z:\Databases\DVD_1\Images\5608652033381.15F.JPG
A Paixão de Cristo,The Passion of the Christ,TRUE,TRUE,2004,121,Drama,Z:\Databases\DVD_1\Images\5601887462353.15F.JPG
A Paixão de Shakespeare,Shakespeare In Love,FALSE,TRUE,1998,119,,Z:\Databases\DVD_1\Images\5601887404131.15F.JPG
A Porta no Chão,The Door in the Floor,TRUE,TRUE,2004,106,,Z:\Databases\DVD_1\Images\5602193322768.15F.JPG
A Pousada da Jamaica,Jamaica Inn,TRUE,TRUE,1939,98,Suspense/Thriller,Z:\Databases\DVD_1\Images\IFB8362F58BC2FEFE.15F.JPG
A Praia,The Beach,TRUE,TRUE,2000,115,Drama,Z:\Databases\DVD_1\Images\5600304163293.15F.JPG
À Procura da Terra do Nunca,Finding Neverland,TRUE,TRUE,2004,97,Drama,Z:\Databases\DVD_1\Images\5600304161817.15F.JPG
À Procura de Nemo,Finding Nemo,TRUE,TRUE,2003,97,,Z:\Databases\DVD_1\Images\5601887463923.15F.JPG
A Profecia das Sombras,The Mothman Prophecies,TRUE,TRUE,2002,114,Suspense/Thriller,Z:\Databases\DVD_1\Images\5601887440948.15F.JPG
A Proposta,The Proposition,TRUE,TRUE,1998,107,Drama,Z:\Databases\DVD_1\Images\5601887432967.15F.JPG
À Prova de Bala,Bulletproof Monk,TRUE,TRUE,2003,104,Acção,Z:\Databases\DVD_1\Images\5602193317702.15F.JPG
À Prova de Morte,Death Proof,TRUE,TRUE,2007,109,Acção,Z:\Databases\DVD_1\Images\5602193339346.15F.JPG
A Qualquer Preço,A Civil Action,TRUE,TRUE,1998,115,Drama,Z:\Databases\DVD_1\Images\7896012250136.23F.JPG
A Queda - Hitler e o Fim do Terceiro Reich,Der Untergang,TRUE,TRUE,2004,149,Drama,Z:\Databases\DVD_1\Images\5608652026864.15F.JPG
A Rainha,The Queen,TRUE,TRUE,2006,98,Drama,Z:\Databases\DVD_1\Images\5608652030595.15F.JPG
A Rainha Margot,La Reine Margot,TRUE,TRUE,1994,137,,Z:\Databases\DVD_1\Images\5608652022217.15F.JPG
A Rede,The Net,TRUE,TRUE,1995,110,Suspense/Thriller,Z:\Databases\DVD_1\Images\5606376278965.15F.JPG
A ressaca,The Hangover,FALSE,TRUE,2009,103,Comédia,Z:\Databases\DVD_1\Images\5601887551958.15F.JPG
A ressaca - Parte III,The Hangover: Part III,FALSE,TRUE,2013,96,Comédia,Z:\Databases\DVD_1\Images\5051892124348.4F.JPG
A Ressaca Parte II,The Hangover Part II,FALSE,TRUE,2011,98,Comédia,Z:\Databases\DVD_1\Images\5601887574926.15F.JPG
A Secretária,Secretary,TRUE,TRUE,2002,107,,Z:\Databases\DVD_1\Images\5608652021685.15F.JPG
A Soma de Todos os Medos,The Sum of All Fears,TRUE,TRUE,2002,119,Acção,Z:\Databases\DVD_1\Images\5601887444991.15F.JPG
A Sombra da Forca,Hang 'em High,TRUE,TRUE,1968,110,Western,Z:\Databases\DVD_1\Images\5600304195355.15F.JPG
A Toda a Prova,Foolproof,FALSE,TRUE,2003,90,Suspense/Thriller,Z:\Databases\DVD_1\Images\5608652022972.15F.JPG
A Todos um Shrek Natal,Shrek The Halls,TRUE,TRUE,2007,27,Animação,Z:\Databases\DVD_1\Images\5601887528639.15F.JPG
A Última Cartada,21,FALSE,TRUE,2008,118,,Z:\Databases\DVD_1\Images\8414533052634.15F.JPG
A Última Legião,The Last Legion,TRUE,TRUE,2007,97,,Z:\Databases\DVD_1\Images\5608652032124.15F.JPG
A Vedação,Rabbit-Proof Fence,TRUE,TRUE,2002,90,Aventura,Z:\Databases\DVD_1\Images\5601887453511.15F.JPG
A Verdade da Mentira,True Lies,FALSE,TRUE,1994,135,Acção,Z:\Databases\DVD_1\Images\5601887422302.15F.JPG
A Verdade Escondida,What Lies Beneath,TRUE,TRUE,2000,125,,Z:\Databases\DVD_1\Images\5608652005821.15F.JPG
A Verdade Sobre Charlie,The Truth About Charlie,TRUE,TRUE,2002,100,,Z:\Databases\DVD_1\Images\5050582009231.15F.JPG
"A Verdadeira História de Jack, o Estripador",From Hell,TRUE,TRUE,2001,117,Horror,Z:\Databases\DVD_1\Images\5608652012393.15F.JPG
A Vida é Bela,La Vita è Bella,FALSE,TRUE,1997,111,,Z:\Databases\DVD_1\Images\5600304160896.15F.JPG
A Vida é um Milagre,Zivot Je Cudo,FALSE,TRUE,2004,149,,Z:\Databases\DVD_1\Images\5606699505212.15F.JPG
A Vida Não É Uma Roleta,Duane Hopwood,TRUE,TRUE,2005,80,Comédia,Z:\Databases\DVD_1\Images\5602193340458.15F.JPG
A Vila,The Village,TRUE,TRUE,2004,104,,Z:\Databases\DVD_1\Images\5601887468157.15F.JPG
A Vizinha do Lado,,TRUE,TRUE,1945,115,Comédia,Z:\Databases\DVD_1\Images\5601887482733.15F.JPG
Abandonada,,TRUE,TRUE,2000,103,Horror,Z:\Databases\DVD_1\Images\5601887432936.15F.JPG
ABC da sedução,The Ugly Truth,TRUE,TRUE,2009,96,Comédia,Z:\Databases\DVD_1\Images\8414533064477.15F.JPG
Aberto até de Madrugada,From Dusk Till Dawn,TRUE,TRUE,1996,103,Acção,Z:\Databases\DVD_1\Images\5600304190541.15F.JPG
Abram Alas para o Noddy - Noddy Salva o Natal,Make Way for Noddy: Noddy Saves Christmas,TRUE,TRUE,2005,95,,Z:\Databases\DVD_1\Images\5601887476817.15F.JPG
Abram alas para o Noddy - Segura bem o chapéu,Make Way for Noddy: Hold on to your hat,TRUE,TRUE,2004,81,Animação,Z:\Databases\DVD_1\Images\5601887461813.15F.JPG
Abram alas para o Noddy - Uma bicicleta para o Orelhas,Make Way for Noddy: A Bike for Big Ears,TRUE,TRUE,2004,70,Animação,Z:\Databases\DVD_1\Images\5601887464357.15F.JPG
Acabados de morrer,Just Buried,TRUE,TRUE,2007,93,Comédia,Z:\Databases\DVD_1\Images\858423001643F.JPG
Academia De Gladiadores,,TRUE,TRUE,0,0,,Z:\Databases\DVD_1\Images\M1.15F.JPG
Acho que gosto da minha mulher,,TRUE,TRUE,0,0,,Z:\Databases\DVD_1\Images\M115.15F.JPG
Aconteceu na Argentina,Imagining Argentina,FALSE,TRUE,2003,109,,Z:\Databases\DVD_1\Images\5608652024891.15F.JPG
Acordado,Awake,FALSE,TRUE,2007,84,Suspense/Thriller,Z:\Databases\DVD_1\Images\5600304198967.15F.JPG
Acordar em Reno,Waking up in Reno,FALSE,TRUE,2002,87,Romance,Z:\Databases\DVD_1\Images\5607727095965.15F.JPG
Adam Renascido,Adam Resurrected,TRUE,TRUE,2008,106,Drama,Z:\Databases\DVD_1\Images\5606320001717.15F.JPG
Adepto Fanático,The Fan,TRUE,TRUE,1996,0,,Z:\Databases\DVD_1\Images\5602193305907.15F.JPG
Adivinha Quem,Guess Who,FALSE,TRUE,2005,128,Comédia,Z:\Databases\DVD_1\Images\5600304162494.15F.JPG
